Exchange Date,Close,Open,Low,High,Volume
5/27/2011,410.82,406.75,405.78,410.82,29907000
5/26/2011,398.04,386.36,371.03,398.04,47224000
5/25/2011,386.36,388.64,385.72,389.9,35543000
5/24/2011,402.59,407.13,402.07,407.61,39022000
5/23/2011,417.82,429.74,416.14,430.54,31754000
5/20/2011,432.87,444.85,432.24,444.85,26744000
5/19/2011,444.85,450.92,444.85,456.47,25463000
5/18/2011,454.91,457.92,451.49,459.19,28518000
5/17/2011,464.35,471.49,464.35,474.57,24129000
5/16/2011,471.49,479.01,471.49,481.51,25359000
5/13/2011,479.67,482.01,478.58,482.51,18216000
5/12/2011,482.14,483.1,480.13,484.74,22049000
5/11/2011,483.15,479.07,479.06,483.74,21645000
5/10/2011,481.29,479.01,478.58,481.69,17970000
5/9/2011,477.47,469.01,467.77,477.47,18943000
5/6/2011,472.71,472.52,470.13,473.63,23694000
5/5/2011,479.29,485.96,476.48,486.99,21993000
5/4/2011,486.58,483.3,482.62,488.02,21204000
4/29/2011,480.08,477.43,477.07,481.13,25172000
4/28/2011,472.93,472.17,472.17,474.65,23604000
4/27/2011,469.32,465.98,463.68,469.32,28529000
4/26/2011,461.86,463.77,461.54,468.12,28299000
4/25/2011,465.62,458.99,458.99,467.01,26290000
4/22/2011,456.45,460.89,454.01,462.44,23568000
4/21/2011,460.3,458.38,458.26,462.74,21507000
4/20/2011,458.5,454.57,454.29,458.5,21041000
4/19/2011,453.74,453.59,453.54,457.63,22451000
4/18/2011,455.46,458.39,454.79,459.16,29836000
4/15/2011,460.96,462.17,460.9,463.5,24465000
4/14/2011,460.63,459.87,459.87,462.34,24309000
4/13/2011,461.01,464.21,461.01,464.74,25947000
4/8/2011,464.29,462.51,462.19,464.53,20305000
4/7/2011,463.49,464.72,462,465.85,27541000
4/6/2011,464.94,458.51,458.05,464.94,27348000
4/5/2011,457.2,458.19,454.86,459.1,23343000
4/4/2011,457.25,459.95,457.25,460.65,24644000
4/1/2011,459.17,460.8,458.55,463.11,23349000
3/31/2011,461.13,462.27,460.74,465.31,27889000
3/30/2011,460.04,454.33,454.31,460.1,28056000
3/29/2011,457.88,460.68,456.02,462.31,36123000
3/28/2011,459.52,458.35,456.74,463.37,24992000
3/25/2011,457.74,461.21,457.66,462.67,28176000
3/24/2011,461.32,465.12,461.32,468.59,27576000
3/23/2011,467.64,464,463.96,467.96,33715000
3/22/2011,464.8,470.22,464.8,470.98,37126000
3/21/2011,468.25,467.17,464.78,469.52,41791000
3/18/2011,461.08,459.4,454.73,461.88,53506000
3/17/2011,460.53,461.48,457.01,468.28,36005000
3/16/2011,463.58,467.17,461.57,470.64,36313000
3/15/2011,468.74,470.47,468.2,476.3,37666000
3/14/2011,479.9,491.95,479.9,493.2,45601000
3/11/2011,495.06,490.13,490.13,496.22,43503000
3/10/2011,482.49,467.54,467.54,482.54,46169000
3/9/2011,470.51,474.8,466.72,475.19,31207000
3/8/2011,475.38,471.78,471.78,477.52,29849000
3/7/2011,468.22,465.21,464.44,468.22,23625000
3/4/2011,459.23,454.73,452.61,459.23,32859000
3/3/2011,452.34,449.78,449.78,457.13,30742000
3/2/2011,457.83,464.27,453.33,466.26,46603000
3/1/2011,466.12,458.21,458.14,466.12,24211000
2/28/2011,461.37,467.12,461.37,474.22,34263000
2/25/2011,466.96,460.57,457.96,467.97,28616000
2/24/2011,461.29,462.43,455.74,462.87,43115000
2/23/2011,470.67,468.97,466.88,474.02,36916000
2/22/2011,470.02,467.4,467.4,471.68,52157000
2/21/2011,483.68,497.71,481.86,497.71,50542000
2/18/2011,503.92,509.1,502.55,510.75,38442000
